problemName,numCustomers,totalTime_our,ofv_our,waitingTruck_our,waitingUAV_our,numUAVcust_our,numTruckCust_our,totalTime_their,ofv_their,waitingTruck_their,waitingUAV_their,numUAVcust_their,numTruckCust_their,matchType,totalTime_diff_our_minus_their,totalTime_diff_their_minus_our,totalTime_our_improvement_percent,ofv_diff_our_minus_their,ofv_diff_their_minus_our,ofv_our_improvement_percent,waitingTruck_diff_our_minus_their,waitingTruck_diff_their_minus_our,waitingTruck_our_improvement_percent,waitingUAV_diff_our_minus_their,waitingUAV_diff_their_minus_our,waitingUAV_our_improvement_percent,numUAVcust_diff_our_minus_their,numUAVcust_diff_their_minus_our,numTruckCust_diff_our_minus_their,numTruckCust_diff_their_minus_our,totalTime_winner,ofv_winner,waitingTruck_winner,waitingUAV_winner,numUAVcust_winner,numTruckCust_winner
20170608T121632668184,10,0.008117,3024.179385,688.112732,506.522963,7,3,0.5462,2625.130837,570.0,2027.216503,7,3,problemName_numCustomers,-0.538083,0.538083,98.51391431709996,399.04854799999976,-399.04854799999976,-15.201091784668245,118.11273200000005,-118.11273200000005,-20.72153192982457,-1520.6935400000002,1520.6935400000002,75.01386939922718,0,0,0,0,our,their,their,our,tie,tie
20170608T121651164057,10,0.005344,3423.145686,0.0,2711.898784,8,2,0.074547,3213.145686,630.0,4204.80015,8,2,problemName_numCustomers,-0.069203,0.069203,92.8313681301729,210.0,-210.0,-6.535651368532439,-630.0,630.0,100.0,-1492.901366,1492.901366,35.50469255952628,0,0,0,0,our,their,our,our,tie,tie
20170608T121710107640,10,0.005349,4469.13865,0.0,3048.551248,7,3,0.062926,4187.726388,360.0,1022.786555,4,6,problemName_numCustomers,-0.057576999999999996,0.057576999999999996,91.49953914121349,281.4122619999998,-281.4122619999998,-6.719929525634516,-360.0,360.0,100.0,2025.764693,-2025.764693,-198.06328926566695,3,-3,-3,3,our,their,our,their,our,our
20170608T121728978505,10,0.004671,4117.865924,83.534472,254.385586,4,6,0.06919,3925.094957,420.0,1824.902491,5,5,problemName_numCustomers,-0.064519,0.064519,93.24902442549502,192.77096699999993,-192.77096699999993,-4.911243399505862,-336.465528,336.465528,80.11084000000001,-1570.516905,1570.516905,86.06031898939415,-1,1,1,-1,our,their,our,our,their,their
20170608T121747991951,10,0.006925,4508.90921,182.457553,1841.713521,7,3,0.167546,4017.585726,330.0,922.341381,5,5,problemName_numCustomers,-0.160621,0.160621,95.86680672770463,491.323484,-491.323484,-12.229321724745693,-147.542447,147.542447,44.70983242424243,919.37214,-919.37214,-99.67807570372905,2,-2,-2,2,our,their,our,their,our,our
20170608T121807019623,10,0.034615,4249.11476,300.790388,255.259261,3,7,0.242465,3434.803707,671.648023,3428.784644,7,3,problemName_numCustomers,-0.20785,0.20785,85.72371270080218,814.3110530000004,-814.3110530000004,-23.707644525376086,-370.85763499999996,370.85763499999996,55.21606887838632,-3173.5253829999997,3173.5253829999997,92.5554011843037,-4,4,4,-4,our,their,our,our,their,their
20170608T121825920767,10,0.006117,4694.547925,0.0,290.857633,1,9,0.099646,3846.60202,360.0,1652.420946,4,6,problemName_numCustomers,-0.093529,0.093529,93.86126889187724,847.945905,-847.945905,-22.044024845596063,-360.0,360.0,100.0,-1361.5633129999999,1361.5633129999999,82.39809089178661,-3,3,3,-3,our,their,our,our,their,their
20170608T121844810174,10,0.006851,3102.550966,324.180097,0.0,3,7,0.105003,2923.90632,415.535451,739.635297,3,7,problemName_numCustomers,-0.098152,0.098152,93.47542451168063,178.64464599999974,-178.64464599999974,-6.109793763843971,-91.35535400000003,91.35535400000003,21.984972348364092,-739.635297,739.635297,100.0,0,0,0,0,our,their,our,our,tie,tie
20170608T121903600571,10,0.005105,4541.54954,47.156157,568.323538,5,5,0.15606,4020.36396,480.0,1614.445957,6,4,problemName_numCustomers,-0.150955,0.150955,96.72882224785339,521.1855799999998,-521.1855799999998,-12.963641729591066,-432.843843,432.843843,90.17580062500001,-1046.1224189999998,1046.1224189999998,64.79761149415792,-1,1,1,-1,our,their,our,our,their,their
20170608T121925358737,10,0.024616,4453.36855,240.0,621.696002,3,7,0.121404,3524.610692,450.0,2830.547521,6,4,problemName_numCustomers,-0.096788,0.096788,79.72389707093672,928.7578579999999,-928.7578579999999,-26.35065087069196,-210.0,210.0,46.666666666666664,-2208.851519,2208.851519,78.03619273700228,-3,3,3,-3,our,their,our,our,their,their
